epoch,lr,train_loss,train_obj,train_cls,train_box,train_pos,train_imgsz_avg,val_loss,val_obj,val_cls,val_box,val_pos,val_imgsz
1,0.0009996145181203615,3.579804,0.009338,1.005916,1.282275,10.96,623.1,4.468957,0.007249,1.308394,1.576657,12.14,640
2,0.000998458666866564,2.881321,0.006051,0.744008,1.06563,10.96,641.8,3.037283,0.005663,0.997976,1.016822,12.14,640
3,0.0009965342284774632,2.666495,0.004434,0.591438,1.035311,10.96,642.4,2.576486,0.004161,0.483608,1.044359,12.14,640
4,0.0009938441702975688,2.539627,0.00373,0.503375,1.016262,10.96,638.2,2.627886,0.004084,0.573802,1.025,12.14,640
5,0.0009903926402016151,2.407937,0.003094,0.401215,1.001814,10.96,641.2,2.420865,0.003391,0.419189,0.999142,12.14,640
6,0.0009861849601988382,2.424828,0.002794,0.431109,0.995463,10.96,627.9,2.37086,0.003034,0.348074,1.009876,12.14,640
7,0.0009812276182268236,2.296889,0.002508,0.300766,0.996808,10.96,629.7,2.34018,0.002679,0.354807,0.991347,12.14,640
8,0.0009755282581475768,2.291182,0.002247,0.299091,0.994922,10.96,639.4,2.286152,0.002448,0.25759,1.013057,12.14,640
9,0.0009690956679612421,2.288153,0.002136,0.31092,0.987548,10.96,651.5,2.239035,0.002657,0.25469,0.990844,12.14,640
10,0.0009619397662556433,2.261276,0.001991,0.29355,0.982868,10.96,657.5,2.271206,0.002449,0.286485,0.991136,12.14,640
11,0.0009540715869125406,2.248464,0.001933,0.286538,0.979996,10.96,655.1,2.266493,0.002431,0.294602,0.98473,12.14,640
12,0.0009455032620941839,2.179104,0.002102,0.229014,0.973994,10.96,621.3,2.442836,0.002148,0.394255,1.023217,12.14,640
13,0.0009362480035363986,2.152987,0.001778,0.195777,0.977716,10.96,666.0,2.180144,0.00232,0.219972,0.978926,12.14,640
14,0.0009263200821770461,2.172142,0.001939,0.237875,0.966164,10.96,639.4,2.280948,0.002295,0.315942,0.981355,12.14,640
15,0.0009157348061512728,2.140184,0.00206,0.199242,0.969441,10.96,622.5,2.221543,0.002419,0.251147,0.983989,12.14,640
16,0.0009045084971874739,2.186149,0.002064,0.242084,0.971,10.96,649.1,2.44245,0.002617,0.482805,0.978514,12.14,640
17,0.0008926584654403725,2.119338,0.00187,0.2112,0.953133,10.96,656.9,2.262873,0.002211,0.296972,0.981845,12.14,640
18,0.0008802029828000156,2.091575,0.00176,0.163512,0.963152,10.96,663.5,2.262654,0.00216,0.308642,0.975926,12.14,640
19,0.0008671612547178428,2.066793,0.001842,0.168057,0.948447,10.96,635.2,2.165105,0.002035,0.242412,0.960329,12.14,640
20,0.0008535533905932737,2.055476,0.001837,0.156577,0.948531,10.96,637.0,2.317685,0.002181,0.384751,0.965377,12.14,640
21,0.0008394003727664709,2.066756,0.00184,0.19101,0.936953,10.96,641.8,2.234519,0.002066,0.26394,0.984256,12.14,640
22,0.0008247240241650919,2.113729,0.001884,0.235957,0.937944,10.96,621.3,2.195935,0.001922,0.24208,0.975967,12.14,640
23,0.000809546974654917,2.02682,0.001724,0.144332,0.940382,10.96,649.7,2.297342,0.002148,0.357642,0.968776,12.14,640
24,0.0007938926261462366,2.03428,0.00188,0.186536,0.922932,10.96,638.2,2.182519,0.002229,0.301622,0.939334,12.14,640
25,0.0007777851165098012,2.048052,0.001869,0.139234,0.953474,10.96,636.4,2.284291,0.002286,0.313155,0.984425,12.14,640
26,0.0007612492823579744,2.04199,0.001973,0.180123,0.929947,10.96,640.0,2.285115,0.002053,0.296508,0.993277,12.14,640
27,0.0007443106207484776,2.01494,0.001838,0.166341,0.92338,10.96,654.5,2.213127,0.00239,0.300183,0.955277,12.14,640
28,0.0007269952498697734,1.97192,0.001892,0.170535,0.899747,10.96,634.0,2.117964,0.002186,0.271656,0.922061,12.14,640
29,0.0007093298687687142,1.955791,0.001761,0.132571,0.91073,10.96,658.7,2.086202,0.002035,0.267173,0.908497,12.14,640
30,0.000691341716182545,1.87997,0.001809,0.142798,0.867681,10.96,627.3,2.090902,0.001901,0.259313,0.914844,12.14,640
31,0.0006730585285387465,1.870431,0.001822,0.161051,0.853779,10.96,640.6,2.221534,0.001964,0.230981,0.994294,12.14,640
32,0.0006545084971874737,1.747804,0.001789,0.093769,0.826123,10.96,645.4,2.027764,0.001988,0.252612,0.886582,12.14,640
33,0.0006357202249325371,1.855317,0.001829,0.161546,0.845971,10.96,645.4,1.938537,0.002128,0.237659,0.849375,12.14,640
34,0.0006167226819279528,1.695919,0.001923,0.130073,0.781962,10.96,643.6,2.117411,0.002093,0.24996,0.932679,12.14,640
35,0.0005975451610080642,1.750297,0.001929,0.115623,0.816373,10.96,643.6,1.893385,0.002257,0.248808,0.82116,12.14,640
36,0.0005782172325201155,1.710748,0.001881,0.133812,0.787527,10.96,655.7,1.979293,0.00208,0.230441,0.873386,12.14,640
37,0.0005587686987289189,1.681965,0.001905,0.112845,0.783607,10.96,649.7,2.0089,0.002299,0.317144,0.844729,12.14,640
38,0.0005392295478639225,1.671335,0.001855,0.135047,0.767216,10.96,669.6,1.917259,0.002418,0.286044,0.814399,12.14,640
39,0.0005196299078795343,1.546676,0.002035,0.116502,0.714069,10.96,634.0,2.016712,0.002208,0.272112,0.871196,12.14,640
40,0.0005,1.519923,0.001957,0.095895,0.711036,10.96,635.2,1.798398,0.002054,0.319429,0.738457,12.14,640
41,0.00048037009212046586,1.533311,0.001917,0.093336,0.71903,10.96,656.9,1.982094,0.00208,0.294552,0.842732,12.14,640
42,0.00046077045213607765,1.523156,0.001956,0.090482,0.715359,10.96,634.6,1.900535,0.002139,0.248407,0.824995,12.14,640
43,0.0004412313012710813,1.426077,0.001847,0.069975,0.677127,10.96,661.1,1.821727,0.002236,0.29034,0.764575,12.14,640
44,0.00042178276747988476,1.303269,0.001962,0.065902,0.617702,10.96,648.5,1.544839,0.002393,0.289999,0.626223,12.14,640
45,0.000402454838991936,1.291326,0.002025,0.083559,0.602871,10.96,638.2,1.662722,0.002156,0.275209,0.692678,12.14,640
46,0.00038327731807204744,1.307568,0.001972,0.05494,0.625327,10.96,638.2,1.494341,0.002187,0.276773,0.607691,12.14,640
47,0.00036427977506746286,1.180796,0.002014,0.04876,0.565011,10.96,630.3,1.661272,0.00221,0.272518,0.693272,12.14,640
48,0.00034549150281252644,1.140314,0.00197,0.063745,0.537299,10.96,646.0,1.59716,0.002258,0.245049,0.674927,12.14,640
49,0.00032694147146125374,1.054645,0.001837,0.03775,0.507529,10.96,660.5,1.491093,0.002225,0.247321,0.620773,12.14,640
50,0.0003086582838174553,1.08261,0.001918,0.060385,0.510154,10.96,650.9,1.542685,0.002355,0.235598,0.652366,12.14,640
51,0.00029067013123128623,1.029792,0.00193,0.047194,0.490334,10.96,639.4,1.278062,0.002203,0.242053,0.516903,12.14,640
52,0.0002730047501302268,0.998025,0.001879,0.0395,0.478323,10.96,650.9,1.19169,0.002238,0.23487,0.477291,12.14,640
53,0.0002556893792515226,0.954138,0.00198,0.048131,0.452013,10.96,640.6,1.497698,0.002249,0.242347,0.626551,12.14,640
54,0.00023875071764202575,0.959803,0.001948,0.040996,0.45843,10.96,644.2,1.286196,0.002297,0.227816,0.528041,12.14,640
55,0.000222214883490199,0.910981,0.00208,0.03962,0.434641,10.96,617.7,1.427269,0.002229,0.237593,0.593724,12.14,640
56,0.00020610737385376362,0.943189,0.001977,0.055723,0.442744,10.96,638.2,1.260404,0.002219,0.240494,0.508845,12.14,640
57,0.00019045302534508325,0.88654,0.002002,0.047104,0.418717,10.96,631.5,1.312556,0.002241,0.240024,0.535145,12.14,640
58,0.00017527597583490834,0.870545,0.002003,0.049762,0.40939,10.96,630.9,1.107549,0.002195,0.261359,0.421997,12.14,640
59,0.00016059962723352931,0.847676,0.001952,0.041026,0.402349,10.96,636.4,1.136484,0.002247,0.248823,0.442707,12.14,640
60,0.00014644660940672636,0.785842,0.002001,0.032031,0.375905,10.96,625.5,1.209723,0.002253,0.235726,0.485872,12.14,640
61,0.00013283874528215725,0.829476,0.002001,0.046022,0.390727,10.96,631.5,1.055351,0.002197,0.249476,0.401839,12.14,640
62,0.0001197970171999846,0.776961,0.001981,0.032595,0.371192,10.96,635.2,1.105147,0.002229,0.244248,0.429335,12.14,640
63,0.00010734153455962753,0.758285,0.002049,0.039255,0.35849,10.96,621.9,1.203259,0.002241,0.242478,0.47927,12.14,640
64,9.549150281252638e-05,0.759678,0.002007,0.030813,0.363429,10.96,629.7,1.081354,0.002205,0.256382,0.411383,12.14,640
65,8.426519384872754e-05,0.737671,0.00198,0.02741,0.35414,10.96,632.8,1.050556,0.002223,0.251238,0.398548,12.14,640
66,7.367991782295395e-05,0.730575,0.001959,0.031247,0.348684,10.96,649.1,1.092893,0.002206,0.264953,0.412867,12.14,640
67,6.375199646360155e-05,0.698028,0.001905,0.027825,0.334149,10.96,647.8,0.990377,0.002233,0.269466,0.359339,12.14,640
68,5.449673790581613e-05,0.668,0.002039,0.027441,0.31926,10.96,626.1,1.094495,0.002225,0.269779,0.411246,12.14,640
69,4.5928413087459345e-05,0.651795,0.001866,0.023962,0.312983,10.96,655.7,1.049717,0.002241,0.269515,0.38898,12.14,640
70,3.806023374435665e-05,0.647531,0.002005,0.037408,0.304059,10.96,635.2,1.121371,0.002228,0.266717,0.426213,12.14,640
71,3.090433203875794e-05,0.656774,0.001987,0.028264,0.313261,10.96,638.2,1.032042,0.002231,0.262371,0.383721,12.14,640
72,2.447174185242325e-05,0.665847,0.002049,0.030625,0.316587,10.96,630.9,0.959003,0.002211,0.263765,0.346513,12.14,640
73,1.877238177317643e-05,0.660213,0.002094,0.047549,0.305285,10.96,615.2,1.101943,0.002231,0.268545,0.415584,12.14,640
74,1.3815039801161731e-05,0.636117,0.001895,0.029372,0.302425,10.96,655.1,0.950308,0.002219,0.264541,0.341774,12.14,640
75,9.607359798384792e-06,0.644236,0.001919,0.031128,0.305594,10.96,646.6,0.99352,0.002217,0.261943,0.36468,12.14,640
76,6.155829702431175e-06,0.615035,0.001847,0.025289,0.29395,10.96,661.1,0.976157,0.002225,0.263493,0.355219,12.14,640
77,3.4657715225368564e-06,0.643906,0.001971,0.052887,0.294524,10.96,642.4,0.945546,0.002223,0.263334,0.339995,12.14,640
78,1.5413331334360193e-06,0.627716,0.001946,0.020936,0.302417,10.96,646.6,1.007879,0.00223,0.264646,0.370501,12.14,640
79,3.8548187963854984e-07,0.629128,0.001981,0.025393,0.300877,10.96,636.4,1.085584,0.002229,0.262344,0.410505,12.14,640
80,0.0,0.609258,0.001989,0.026693,0.290288,10.96,640.0,0.947277,0.002218,0.263385,0.340837,12.14,640
